Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,-1.6,55.508,2.47275,62.188,14.0,14.0,14.0
2,-1.1,55.508,2.47275,62.188,14.0,14.0,14.0
3,-1.1,55.508,2.47275,62.188,14.0,14.0,14.0
4,-1.0,55.508,2.47275,62.188,14.0,14.0,14.0
5,-1.0,55.508,2.47275,62.188,14.0,14.0,14.0
6,-1.0,55.508,2.47275,62.188,14.0,14.0,14.0
7,-0.9,55.508,2.47275,62.188,14.0,14.0,14.0
8,-0.9,55.508,2.47275,62.188,14.0,14.0,14.0
9,-0.9,55.508,2.47275,62.188,14.0,14.0,14.0
