Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,-4.1,6.452461538461538,1.8437307692307692,0.6205,14.0,14.0,14.0
2,-3.8,6.452461538461538,1.8437307692307692,0.6205,14.0,14.0,14.0
3,-3.6,6.452461538461538,1.8437307692307692,0.6205,14.0,14.0,14.0
4,-3.5,6.452461538461538,1.8437307692307692,0.6205,14.0,14.0,14.0
5,-3.5,6.452461538461538,1.8437307692307692,0.6205,14.0,14.0,14.0
6,-3.4,6.452461538461538,1.8437307692307692,0.6205,14.0,14.0,14.0
7,-3.3,6.452461538461538,1.8437307692307692,0.6205,14.0,14.0,14.0
8,-3.3,6.452461538461538,1.8437307692307692,0.6205,14.0,14.0,14.0
9,-3.3,6.452461538461538,1.8437307692307692,0.6205,14.0,14.0,14.0
