Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,-8.4,4.910682926829267,-1.3559512195121948,-1.6,20,20,20
2,-8.1,4.910682926829267,-1.3559512195121948,-1.6,20,20,20
3,-7.9,4.910682926829267,-1.3559512195121948,-1.6,20,20,20
4,-7.7,4.910682926829267,-1.3559512195121948,-1.6,20,20,20
5,-7.6,4.910682926829267,-1.3559512195121948,-1.6,20,20,20
6,-7.5,4.910682926829267,-1.3559512195121948,-1.6,20,20,20
7,-7.4,4.910682926829267,-1.3559512195121948,-1.6,20,20,20
8,-7.3,4.910682926829267,-1.3559512195121948,-1.6,20,20,20
9,-7.3,4.910682926829267,-1.3559512195121948,-1.6,20,20,20
