Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,-4.1,0.7655624999999997,-1.7606249999999999,-1.6,20,20,20
2,-3.9,0.7655624999999997,-1.7606249999999999,-1.6,20,20,20
3,-3.8,0.7655624999999997,-1.7606249999999999,-1.6,20,20,20
4,-3.7,0.7655624999999997,-1.7606249999999999,-1.6,20,20,20
5,-3.7,0.7655624999999997,-1.7606249999999999,-1.6,20,20,20
6,-3.6,0.7655624999999997,-1.7606249999999999,-1.6,20,20,20
7,-3.6,0.7655624999999997,-1.7606249999999999,-1.6,20,20,20
8,-3.5,0.7655624999999997,-1.7606249999999999,-1.6,20,20,20
9,-3.4,0.7655624999999997,-1.7606249999999999,-1.6,20,20,20
