Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,-4.5,1.7835714285714284,-2.1942857142857144,-1.6,20,20,20
2,-4.2,1.7835714285714284,-2.1942857142857144,-1.6,20,20,20
3,-4.0,1.7835714285714284,-2.1942857142857144,-1.6,20,20,20
4,-3.9,1.7835714285714284,-2.1942857142857144,-1.6,20,20,20
5,-3.8,1.7835714285714284,-2.1942857142857144,-1.6,20,20,20
6,-3.8,1.7835714285714284,-2.1942857142857144,-1.6,20,20,20
7,-3.8,1.7835714285714284,-2.1942857142857144,-1.6,20,20,20
8,-3.8,1.7835714285714284,-2.1942857142857144,-1.6,20,20,20
9,-3.7,1.7835714285714284,-2.1942857142857144,-1.6,20,20,20
