Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,0.0,0.826739130434782,-2.092913043478261,-1.6,20,20,20
2,0.0,0.826739130434782,-2.092913043478261,-1.6,20,20,20
3,0.0,0.826739130434782,-2.092913043478261,-1.6,20,20,20
4,0.0,0.826739130434782,-2.092913043478261,-1.6,20,20,20
5,0.0,0.826739130434782,-2.092913043478261,-1.6,20,20,20
6,0.0,0.826739130434782,-2.092913043478261,-1.6,20,20,20
7,0.0,0.826739130434782,-2.092913043478261,-1.6,20,20,20
8,0.0,0.826739130434782,-2.092913043478261,-1.6,20,20,20
9,0.0,0.826739130434782,-2.092913043478261,-1.6,20,20,20
