Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,-1.4,-0.4630000000000001,-1.9483333333333333,-1.6,20,20,20
2,-1.2,-0.4630000000000001,-1.9483333333333333,-1.6,20,20,20
3,-0.8,-0.4630000000000001,-1.9483333333333333,-1.6,20,20,20
4,-0.7,-0.4630000000000001,-1.9483333333333333,-1.6,20,20,20
5,-0.6,-0.4630000000000001,-1.9483333333333333,-1.6,20,20,20
6,-0.6,-0.4630000000000001,-1.9483333333333333,-1.6,20,20,20
7,-0.6,-0.4630000000000001,-1.9483333333333333,-1.6,20,20,20
8,-0.5,-0.4630000000000001,-1.9483333333333333,-1.6,20,20,20
9,-0.4,-0.4630000000000001,-1.9483333333333333,-1.6,20,20,20
