Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,-4.5,1.2018750000000002,-1.66375,-1.6,20,20,20
2,-4.5,1.2018750000000002,-1.66375,-1.6,20,20,20
3,-4.3,1.2018750000000002,-1.66375,-1.6,20,20,20
4,-4.1,1.2018750000000002,-1.66375,-1.6,20,20,20
5,-4.1,1.2018750000000002,-1.66375,-1.6,20,20,20
6,-3.8,1.2018750000000002,-1.66375,-1.6,20,20,20
7,-3.7,1.2018750000000002,-1.66375,-1.6,20,20,20
8,-3.6,1.2018750000000002,-1.66375,-1.6,20,20,20
9,-3.6,1.2018750000000002,-1.66375,-1.6,20,20,20
