Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,-1.3,0.82375,0.919,0.69675,14.0,14.0,14.0
2,-0.9,0.82375,0.919,0.69675,14.0,14.0,14.0
3,-0.8,0.82375,0.919,0.69675,14.0,14.0,14.0
4,-0.7,0.82375,0.919,0.69675,14.0,14.0,14.0
5,-0.7,0.82375,0.919,0.69675,14.0,14.0,14.0
6,-0.7,0.82375,0.919,0.69675,14.0,14.0,14.0
7,-0.7,0.82375,0.919,0.69675,14.0,14.0,14.0
8,-0.6,0.82375,0.919,0.69675,14.0,14.0,14.0
9,-0.5,0.82375,0.919,0.69675,14.0,14.0,14.0
