Pose,Binding Affinity (kcal/mol),Binding Site X,Binding Site Y,Binding Site Z,Box Size X,Box Size Y,Box Size Z
1,-1.5,4.85675,2.00325,0.6205,14.0,14.0,14.0
2,-1.2,4.85675,2.00325,0.6205,14.0,14.0,14.0
3,-1.1,4.85675,2.00325,0.6205,14.0,14.0,14.0
4,-1.0,4.85675,2.00325,0.6205,14.0,14.0,14.0
5,-0.8,4.85675,2.00325,0.6205,14.0,14.0,14.0
6,-0.7,4.85675,2.00325,0.6205,14.0,14.0,14.0
7,-0.7,4.85675,2.00325,0.6205,14.0,14.0,14.0
8,-0.7,4.85675,2.00325,0.6205,14.0,14.0,14.0
9,-0.6,4.85675,2.00325,0.6205,14.0,14.0,14.0
